time,air conditioner1,air conditioner2,washing machine,laptop computer,television,total
7/13/2013 0:01,0,0,0,41.79653333,75.66704,117.4635733
7/13/2013 0:02,0,0,0,36.988,73.83508475,110.8230847
7/13/2013 0:03,0,0,0,35.70948333,75.07567241,110.7851557
7/13/2013 0:04,0,0,0,34.63438983,73.1590678,107.7934576
7/13/2013 0:05,0,0,0,33.62846667,73.57220339,107.2006701
7/13/2013 0:06,0,0,0,33.27166667,70.16311765,103.4347843
7/13/2013 0:07,0,0,0,33.64463793,74.24484848,107.8894864
7/13/2013 0:08,0,0,0,30.39183333,0,30.39183333
7/13/2013 0:09,0,0,0,32.25772881,0,32.25772881
7/13/2013 0:10,0,0,0,30.98257627,0,30.98257627
7/13/2013 0:11,0,0,0,30.50301667,0,30.50301667
7/13/2013 0:12,0,0,0,27.88127119,0,27.88127119
7/13/2013 0:13,0,0,0,28.90413333,0,28.90413333
7/13/2013 0:14,0,0,0,27.61887719,0,27.61887719
7/13/2013 0:15,0,0,0,27.59051667,0,27.59051667
7/13/2013 0:16,0,0,0,27.31264407,0,27.31264407
7/13/2013 0:17,0,0,0,27.34075439,0,27.34075439
7/13/2013 0:18,0,0,0,24.53594915,0,24.53594915
7/13/2013 0:19,0,0,0,21.90098333,0,21.90098333
7/13/2013 0:20,0,0,0,21.49425424,0,21.49425424
7/13/2013 0:21,0,0,0,21.55447458,0,21.55447458
7/13/2013 0:22,0,0,0,21.73242373,0,21.73242373
7/13/2013 0:23,0,0,0,21.97385,0,21.97385
7/13/2013 0:24,0,0,0,21.66364912,0,21.66364912
7/13/2013 0:25,0,0,0,21.5165,0,21.5165
7/13/2013 0:26,0,0,0,21.9639322,0,21.9639322
7/13/2013 0:27,0,0,0,21.33905,0,21.33905
7/13/2013 0:28,0,0,0,21.919,0,21.919
7/13/2013 0:29,0,0,0,21.43486667,0,21.43486667
7/13/2013 0:30,0,0,0,21.6729322,0,21.6729322
7/13/2013 0:31,0,0,0,21.78125862,0,21.78125862
7/13/2013 0:32,0,0,0,21.67544068,0,21.67544068
7/13/2013 0:33,0,0,0,21.43498333,0,21.43498333
7/13/2013 0:34,0,0,0,21.5254386,0,21.5254386
7/13/2013 0:35,0,0,0,22.16545763,0,22.16545763
7/13/2013 0:36,0,0,0,21.81194915,0,21.81194915
7/13/2013 0:37,0,0,0,21.49210169,0,21.49210169
7/13/2013 0:38,0,0,0,21.34489655,0,21.34489655
7/13/2013 0:39,0,0,0,22.33366667,0,22.33366667
7/13/2013 0:40,0,0,0,21.7592069,0,21.7592069
7/13/2013 0:41,0,0,0,30.95081034,0,30.95081034
7/13/2013 0:42,0,0,0,29.25175862,0,29.25175862
7/13/2013 0:43,0,0,0,38.99830508,0,38.99830508
7/13/2013 0:44,0,0,0,38.72755172,0,38.72755172
7/13/2013 0:45,0,0,0,42.85584211,0,42.85584211
7/13/2013 0:46,0,0,0,32.10911321,0,32.10911321
7/13/2013 0:47,0,0,0,37.24786441,0,37.24786441
7/13/2013 0:48,0,0,0,31.98253333,0,31.98253333
7/13/2013 0:49,0,0,0,27.19655172,0,27.19655172
7/13/2013 0:50,0,0,0,26.84286667,0,26.84286667
7/13/2013 0:51,0,0,0,26.78291525,0,26.78291525
7/13/2013 0:52,0,0,0,27.06191525,0,27.06191525
7/13/2013 0:53,0,0,0,41.8630678,0,41.8630678
7/13/2013 0:54,0,0,0,31.16678333,0,31.16678333
7/13/2013 0:55,0,0,0,29.64118644,0,29.64118644
7/13/2013 0:56,0,0,0,29.1569322,0,29.1569322
7/13/2013 0:57,0,0,0,30.27233898,0,30.27233898
7/13/2013 0:58,0,0,0,32.86526667,0,32.86526667
7/13/2013 0:59,0,0,0,32.41516071,0,32.41516071
7/13/2013 1:00,0,0,0,31.69751667,0,31.69751667
7/13/2013 1:01,0,0,0,30.68908475,0,30.68908475
7/13/2013 1:02,0,0,0,34.02691525,0,34.02691525
7/13/2013 1:03,0,0,0,32.42708621,0,32.42708621
7/13/2013 1:04,0,0,0,27.99515,0,27.99515
7/13/2013 1:05,0,0,0,26.92452542,0,26.92452542
7/13/2013 1:06,0,0,0,31.03071186,0,31.03071186
7/13/2013 1:07,0,0,0,31.37669492,0,31.37669492
7/13/2013 1:08,0,0,0,33.0456,0,33.0456
7/13/2013 1:09,0,0,0,31.38889831,0,31.38889831
7/13/2013 1:10,0,0,0,32.95149153,0,32.95149153
7/13/2013 1:11,0,0,0,31.56810169,0,31.56810169
7/13/2013 1:12,0,0,0,32.7689,0,32.7689
7/13/2013 1:13,0,0,0,28.28844643,0,28.28844643
7/13/2013 1:14,0,0,0,28.37611667,0,28.37611667
7/13/2013 1:15,0,0,0,27.59913559,0,27.59913559
7/13/2013 1:16,0,0,0,30.10225,0,30.10225
7/13/2013 1:17,0,0,0,27.78177193,0,27.78177193
7/13/2013 1:18,0,0,0,27.48805455,0,27.48805455
7/13/2013 1:19,0,0,0,27.59066102,0,27.59066102
7/13/2013 1:20,0,0,0,27.62164912,0,27.62164912
7/13/2013 1:21,0,0,0,26.79415254,0,26.79415254
7/13/2013 1:22,0,0,0,27.07028814,0,27.07028814
7/13/2013 1:23,0,0,0,27.89008475,0,27.89008475
7/13/2013 1:24,0,0,0,27.29961017,0,27.29961017
7/13/2013 1:25,0,0,0,27.03416949,0,27.03416949
7/13/2013 1:26,0,0,0,28.4814,0,28.4814
7/13/2013 1:27,0,0,0,28.64834483,0,28.64834483
7/13/2013 1:28,0,0,0,28.75150847,0,28.75150847
7/13/2013 1:29,0,0,0,28.14398276,0,28.14398276
7/13/2013 1:30,0,0,0,27.70896552,0,27.70896552
7/13/2013 1:31,0,0,0,28.00803448,0,28.00803448
7/13/2013 1:32,0,0,0,28.7768,0,28.7768
7/13/2013 1:33,0,0,0,28.05616949,0,28.05616949
