,time,fridge,air conditioner1,air conditioner2,washing machine,laptop computer,iron,kitchen outlets,television,water filter,water motor
1,7/13/13 0:01,0,0,0,0,41.79653333,0,0,75.66704,0.371657895,0
2,7/13/13 0:02,0,0,0,0,36.988,0,0,73.83508475,0.368134615,0
3,7/13/13 0:03,0,0,0,0,35.70948333,0,0,75.07567241,0.36862963,0
4,7/13/13 0:04,0,0,0,0,34.63438983,0,0,73.1590678,0.34175,0
5,7/13/13 0:05,0,0,0,0,33.62846667,0,0,73.57220339,0.356906977,0
6,7/13/13 0:06,0,0,0,0,33.27166667,0,0,70.16311765,0.352131579,0
7,7/13/13 0:07,0,0,0,0,33.64463793,0,0,74.24484848,0.367181818,0
8,7/13/13 0:08,0,0,0,0,30.39183333,0,0,0,0.36672093,0
9,7/13/13 0:09,0,0,0,0,32.25772881,0,0,0,0.3624,0
10,7/13/13 0:10,0,0,0,0,30.98257627,0,0,0,0.376162791,0
11,7/13/13 0:11,0,0,0,0,30.50301667,0,0,0,0.362,0
12,7/13/13 0:12,0,0,0,0,27.88127119,0,0,0,0.353932203,0
13,7/13/13 0:13,0,0,0,0,28.90413333,0,0,0,0.372784314,0
14,7/13/13 0:14,0,0,0,0,27.61887719,0,0,0,0.359534884,0
15,7/13/13 0:15,0,0,0,0,27.59051667,0,0,0,0.355946429,0
16,7/13/13 0:16,0,0,0,0,27.31264407,0,0,0,0.377842105,0
17,7/13/13 0:17,0,0,0,0,27.34075439,0,0,0,0.353377358,0
18,7/13/13 0:18,0,0,0,0,24.53594915,0,0,0,0.359488372,0
19,7/13/13 0:19,0,0,0,0,21.90098333,0,0,0,0.356431818,0
20,7/13/13 0:20,0,0,0,0,21.49425424,0,0,0,0.362283019,0
21,7/13/13 0:21,0,0,0,0,21.55447458,0,0,0,0.362916667,0
22,7/13/13 0:22,0,0,0,0,21.73242373,0,0,0,0.342157895,0
23,7/13/13 0:23,0,0,0,0,21.97385,0,0,0,39.05636667,0
24,7/13/13 0:24,0,0,0,0,21.66364912,0,0,0,12.072125,0
25,7/13/13 0:25,0,0,0,0,21.5165,0,0,0,0.359982143,0
26,7/13/13 0:26,0,0,0,0,21.9639322,0,0,0,0.362378378,0
27,7/13/13 0:27,0,0,0,0,21.33905,0,0,0,0.357947368,0
28,7/13/13 0:28,0,0,0,0,21.919,0,0,0,0.366352941,0
29,7/13/13 0:29,0,0,0,0,21.43486667,0,0,0,0.363145833,0
30,7/13/13 0:30,0,0,0,0,21.6729322,0,0,0,0.344536585,0
31,7/13/13 0:31,0,0,0,0,21.78125862,0,0,0,0.373878788,0
32,7/13/13 0:32,0,0,0,0,21.67544068,0,0,0,0.3555,0
33,7/13/13 0:33,0,0,0,0,21.43498333,0,0,0,0.371770833,0
34,7/13/13 0:34,0,0,0,0,21.5254386,0,0,0,0.340882353,0
35,7/13/13 0:35,0,0,0,0,22.16545763,0,0,0,0.365086957,0
36,7/13/13 0:36,0,0,0,0,21.81194915,0,0,0,0.336142857,0
37,7/13/13 0:37,0,0,0,0,21.49210169,0,0,0,0.366527273,0
38,7/13/13 0:38,0,0,0,0,21.34489655,0,0,0,0.366928571,0
39,7/13/13 0:39,0,0,0,0,22.33366667,0,0,0,0.365666667,0
40,7/13/13 0:40,0,0,0,0,21.7592069,0,0,0,0.362882353,0
41,7/13/13 0:41,0,0,0,0,30.95081034,0,0,0,0.413,0
42,7/13/13 0:42,0,0,0,0,29.25175862,0,0,0,0.369818182,0
43,7/13/13 0:43,0,0,0,0,38.99830508,0,0,0,0.339105263,0
44,7/13/13 0:44,0,0,0,0,38.72755172,0,0,0,28.94077586,0
45,7/13/13 0:45,0,0,0,0,42.85584211,0,0,0,46.0702,0
46,7/13/13 0:46,0,0,0,0,32.10911321,0,0,0,11.08843333,0
47,7/13/13 0:47,0,0,0,0,37.24786441,0,0,0,0.357740741,0
48,7/13/13 0:48,0,0,0,0,31.98253333,0,0,0,0.358480769,0
49,7/13/13 0:49,0,0,0,0,27.19655172,0,0,0,0.369352941,0
50,7/13/13 0:50,0,0,0,0,26.84286667,0,0,0,0.363173077,0
51,7/13/13 0:51,0,0,0,0,26.78291525,0,0,0,0.341428571,0
52,7/13/13 0:52,0,0,0,0,27.06191525,0,0,0,0,0
53,7/13/13 0:53,0,0,0,0,41.8630678,0,0,0,0,0
54,7/13/13 0:54,0,0,0,0,31.16678333,0,0,0,0.352384615,0
55,7/13/13 0:55,0,0,0,0,29.64118644,0,0,0,0.368810345,0
56,7/13/13 0:56,0,0,0,0,29.1569322,0,0,0,0.353735294,0
57,7/13/13 0:57,0,0,0,0,30.27233898,0,0,0,0.364169811,0
58,7/13/13 0:58,0,0,0,0,32.86526667,0,0,0,0.35146,0
59,7/13/13 0:59,0,0,0,0,32.41516071,0,0,0,0.361036364,0
60,7/13/13 1:00,0,0,0,0,31.69751667,0,0,0,0.3594375,0
61,7/13/13 1:01,0,0,0,0,30.68908475,0,0,0,0.347771429,0
62,7/13/13 1:02,0,0,0,0,34.02691525,0,0,0,0.359863636,0
63,7/13/13 1:03,0,0,0,0,32.42708621,0,0,0,0.366959184,0
64,7/13/13 1:04,0,0,0,0,27.99515,0,0,0,0.348363636,0
65,7/13/13 1:05,0,0,0,0,26.92452542,0,0,0,0.347823529,0
66,7/13/13 1:06,0,0,0,0,31.03071186,0,0,0,40.20836957,0
67,7/13/13 1:07,0,0,0,0,31.37669492,0,0,0,13.40974419,0
68,7/13/13 1:08,0,0,0,0,33.0456,0,0,0,0.356923077,0
69,7/13/13 1:09,0,0,0,0,31.38889831,0,0,0,0.369596154,0
70,7/13/13 1:10,0,0,0,0,32.95149153,0,0,0,0.373096154,0
71,7/13/13 1:11,0,0,0,0,31.56810169,0,0,0,0.355195122,0
72,7/13/13 1:12,0,0,0,0,32.7689,0,0,0,0.3714,0
73,7/13/13 1:13,0,0,0,0,28.28844643,0,0,0,0.348038462,0
74,7/13/13 1:14,0,0,0,0,28.37611667,0,0,0,0.375307692,0
75,7/13/13 1:15,0,0,0,0,27.59913559,0,0,0,0.360105263,0
76,7/13/13 1:16,0,0,0,0,30.10225,0,0,0,0.368378378,0
77,7/13/13 1:17,0,0,0,0,27.78177193,0,0,0,0.335264151,0
78,7/13/13 1:18,0,0,0,0,27.48805455,0,0,0,0.361542373,0
79,7/13/13 1:19,0,0,0,0,27.59066102,0,0,0,0.369897959,0
80,7/13/13 1:20,0,0,0,0,27.62164912,0,0,0,0.344166667,0
81,7/13/13 1:21,0,0,0,0,26.79415254,0,0,0,0.354382353,0
82,7/13/13 1:22,0,0,0,0,27.07028814,0,0,0,0.3575,0
83,7/13/13 1:23,0,0,0,0,27.89008475,0,0,0,0.35122,0
84,7/13/13 1:24,0,0,0,0,27.29961017,0,0,0,0.342463415,0
85,7/13/13 1:25,0,0,0,0,27.03416949,0,0,0,0.35708,0
86,7/13/13 1:26,0,0,0,0,28.4814,0,0,0,0.368386364,0
87,7/13/13 1:27,0,0,0,0,28.64834483,0,0,0,0.358764706,0
88,7/13/13 1:28,0,0,0,0,28.75150847,0,0,0,0.358924528,0
89,7/13/13 1:29,0,0,0,0,28.14398276,0,0,0,0.352466667,0
90,7/13/13 1:30,0,0,0,0,27.70896552,0,0,0,0.368829787,0
91,7/13/13 1:31,0,0,0,0,28.00803448,0,0,0,0.376078947,0
92,7/13/13 1:32,0,0,0,0,28.7768,0,0,0,0.370338983,0
93,7/13/13 1:33,0,0,0,0,28.05616949,0,0,0,0.36854,0
94,7/13/13 1:34,0,0,0,0,28.62806897,0,0,0,0.340862745,0
95,7/13/13 1:35,0,0,0,0,31.31255,0,0,0,0.347895833,0
96,7/13/13 1:36,0,0,0,0,30.68008475,0,0,0,0.355404762,0
97,7/13/13 1:37,0,0,0,0,31.48416667,0,0,0,0.373586957,0
98,7/13/13 1:38,0,0,0,0,30.15053571,0,0,0,0.326270833,0
99,7/13/13 1:39,0,0,0,0,32.64365517,0,0,0,0.366431373,0
100,7/13/13 1:40,0,0,0,0,29.04071186,0,0,0,25.3245814,0
101,7/13/13 1:41,0,0,0,0,29.06661818,0,0,0,47.06395238,0
102,7/13/13 1:42,0,0,0,0,32.73327119,0,0,0,11.90452083,0
103,7/13/13 1:43,0,0,0,0,42.40366667,0,0,0,0.347347826,0
104,7/13/13 1:44,0,0,0,0,31.35967797,0,0,0,0.351363636,0
105,7/13/13 1:45,0,0,0,0,32.13383929,0,0,0,0.349631579,0
106,7/13/13 1:46,0,0,0,0,32.75863793,0,0,0,0.336083333,0
107,7/13/13 1:47,0,0,0,0,31.59851667,0,0,0,0,0
108,7/13/13 1:48,0,0,0,0,29.30013793,0,0,0,0,0
109,7/13/13 1:49,0,0,0,0,31.02833333,0,0,0,0,0
110,7/13/13 1:50,0,0,0,0,32.93003448,0,0,0,0,0
111,7/13/13 1:51,0,0,0,0,35.6473,0,0,0,0,0
112,7/13/13 1:52,0,0,0,0,35.73067241,0,0,0,0,0
113,7/13/13 1:53,0,0,0,0,32.84722034,0,0,0,0,0
114,7/13/13 1:54,0,0,0,0,32.50638983,0,0,0,0,0
115,7/13/13 1:55,0,0,0,0,38.24491525,0,0,0,0,0
116,7/13/13 1:56,0,0,0,0,30.88069492,0,0,0,0,0
117,7/13/13 1:57,0,0,0,0,31.91986667,0,0,0,0,0
118,7/13/13 1:58,0,0,0,0,30.91306897,0,0,0,0,0
119,7/13/13 1:59,0,0,0,0,34.65482456,0,0,0,0,0
120,7/13/13 2:00,0,0,0,0,30.55611864,0,0,0,0,0
121,7/13/13 2:01,0,0,0,0,29.04511667,0,0,0,0,0
122,7/13/13 2:02,0,0,0,0,31.35241379,0,0,0,0,0
123,7/13/13 2:03,0,0,0,0,30.7716,0,0,0,0,0
124,7/13/13 2:04,0,0,0,0,29.14330508,0,0,0,0,0
125,7/13/13 2:05,0,0,0,0,29.52313333,0,0,0,0,0
126,7/13/13 2:06,0,0,0,0,28.44730357,0,0,0,0.39104,0
127,7/13/13 2:07,0,0,0,0,31.64888333,0,0,73.70263636,0.371684211,0
128,7/13/13 2:08,0,0,0,0,30.36444068,0,0,74.26915,0.359157895,0
129,7/13/13 2:09,0,0,0,0,32.07118333,0,0,71.07038983,0.370055556,0
130,7/13/13 2:10,0,0,0,0,32.84520339,0,0,75.42998113,0.35386,0
131,7/13/13 2:11,0,0,0,0,34.39841667,0,0,0,0.374857143,0
132,7/13/13 2:12,0,0,0,0,31.57459649,0,0,0,0.353133333,0
133,7/13/13 2:13,0,0,0,0,32.40721667,0,0,0,0.339065217,0
134,7/13/13 2:14,0,0,0,0,33.25401695,0,0,0,0.349313725,0
135,7/13/13 2:15,0,0,0,0,27.05816667,0,0,0,0.36022,0
136,7/13/13 2:16,0,0,0,0,37.96913793,0,0,0,0.340365854,0
137,7/13/13 2:17,0,0,0,0,41.5616,0,0,0,0.355054545,0
138,7/13/13 2:18,0,0,0,0,28.68922414,0,0,0,0.356530612,0
139,7/13/13 2:19,0,0,0,0,31.1520339,0,0,0,0.352,0
140,7/13/13 2:20,0,0,0,0,31.04174576,0,0,0,0.352058824,0
141,7/13/13 2:21,0,0,0,0,29.17435,0,0,0,0.36604878,0
142,7/13/13 2:22,0,0,0,0,35.25349153,0,0,0,0.344257143,0
143,7/13/13 2:23,0,0,0,0,39.22254386,0,0,0,0.369159091,0
144,7/13/13 2:24,0,0,0,0,40.21028814,0,0,0,0.377222222,0
