,time,W.per.min
1,2013/6/24 0:36,544.0053889
2,2013/6/24 0:37,667.5782895
3,2013/6/24 0:38,662.6214474
4,2013/6/24 0:39,660.9357143
5,2013/6/24 0:40,659.4544
6,2013/6/24 0:41,374.1741739
7,2013/6/24 0:42,653.1699831
8,2013/6/24 0:43,438.0086216
9,2013/6/24 0:44,0.498093023
10,2013/6/24 0:45,567.4787105
11,2013/6/24 0:46,649.9775227
12,2013/6/24 0:47,650.1984118
13,2013/6/24 23:34,649.6132
14,2013/6/24 23:35,760.2293158
15,2013/6/24 23:36,761.5427105
16,2013/6/24 23:37,763.1491951
17,2013/6/24 23:38,760.53475
18,2013/7/10 8:11,0.183875
19,2013/7/10 8:12,0.162508772
20,2013/7/10 8:13,0.168090909
21,2013/7/10 8:14,0.160413793
22,2013/7/10 8:15,0.154719298
23,2013/7/10 8:16,0.169918919
24,2013/7/10 8:17,0.159890909
25,2013/7/10 8:18,0.160433333
26,2013/7/10 8:19,0.169103448
27,2013/7/10 8:20,0.148033898
28,2013/7/10 8:21,0.138166667
29,2013/7/10 8:22,0.156571429
30,2013/7/10 8:23,0.150145455
31,2013/7/10 8:24,0.151518519
32,2013/7/10 8:25,0.157963636
33,2013/7/10 8:26,0.167405405
34,2013/7/10 8:27,0.162527273
35,2013/7/10 8:28,0.160854545
36,2013/7/10 8:29,0.161637931
37,2013/7/10 8:30,0.154084746
38,2013/7/10 8:31,0.158947368
39,2013/7/10 8:32,0.166482759
40,2013/7/10 8:33,0.161586207
41,2013/7/10 8:34,0.157362069
42,2013/7/10 8:35,0.141333333
43,2013/7/10 8:44,0.148666667
44,2013/7/10 8:45,0.166421053
45,2013/7/10 8:46,0.155078947
46,2013/7/10 8:47,0.157344828
47,2013/7/10 8:48,0.165160714
48,2013/7/10 8:49,0.15259322
49,2013/7/10 8:50,0.16637931
50,2013/7/10 8:51,0.156818182
51,2013/7/10 8:52,0.173979167
52,2013/7/10 8:53,0.157542373
53,2013/7/10 8:54,0.164949153
54,2013/7/10 8:55,0.1619
55,2013/7/10 8:56,0.153093023
56,2013/7/10 8:57,0.162689655
57,2013/7/10 8:58,0.162440678
58,2013/7/10 8:59,0.149551724
59,2013/7/10 9:00,0.162724138
60,2013/7/10 9:01,0.149388889
61,2013/7/10 9:02,0.161779661
62,2013/7/10 9:03,0.146315789
63,2013/7/10 9:04,0.155745763
64,2013/7/10 9:05,0.168898305
65,2013/7/10 9:06,0.171106383
66,2013/7/10 9:07,0.171089286
67,2013/7/10 9:08,0.161719298
68,2013/7/10 9:09,0.15862069
69,2013/7/10 9:10,0.157254237
70,2013/7/10 9:11,0.168866667
71,2013/7/10 9:12,0.155101695
72,2013/7/10 9:13,0.152
73,2013/7/10 9:14,0.156457627
74,2013/7/10 9:15,0.145474576
75,2013/7/10 9:16,0.161952381
76,2013/7/10 9:17,0.157725
77,2013/7/10 9:18,0.161916667
78,2013/7/10 9:19,0.160051724
79,2013/7/10 9:20,0.158
80,2013/7/10 9:21,0.157847826
81,2013/7/10 9:22,0.157847458
82,2013/7/10 9:23,0.163854545
83,2013/7/10 9:24,0.153766667
84,2013/7/10 9:25,0.154322034
85,2013/7/10 9:26,0.146210526
86,2013/7/10 9:27,0.161157895
87,2013/7/10 9:28,0.153052632
88,2013/7/10 9:29,0.156216667
89,2013/7/10 9:30,0.156051724
90,2013/7/10 9:31,0.158
91,2013/7/10 9:32,0.151694915
92,2013/7/10 9:33,0.15705
93,2013/7/10 9:34,0.146877193
94,2013/7/10 9:35,0.158433333
95,2013/7/10 9:36,0.161906977
96,2013/7/10 9:37,0.17048
97,2013/7/10 9:38,0.148196429
98,2013/7/10 9:39,0.161050847
99,2013/7/10 9:40,0.1532
100,2013/7/10 9:41,0.162162162
101,2013/7/10 9:42,0.157705882
102,2013/7/10 9:43,0.147535714
103,2013/7/10 9:44,0.164050847
104,2013/7/10 9:45,0.15072973
105,2013/7/10 21:15,0.132072727
106,2013/7/10 21:16,0.151289474
107,2013/7/10 21:17,0.135035714
108,2013/7/10 21:18,0.139964912
109,2013/7/10 21:19,0.131327586
110,2013/7/10 21:20,0.135762712
111,2013/7/10 21:21,0.155263158
112,2013/7/10 21:22,0.145578947
113,2013/7/10 21:23,0.147068966
114,2013/7/10 21:24,0.133611111
115,2013/7/10 21:25,0.147271186
116,2013/7/10 21:26,0.149526316
117,2013/7/10 21:27,0.133553571
118,2013/7/10 21:28,0.131769231
119,2013/7/10 21:29,0.128288136
120,2013/7/10 21:30,0.154559322
121,2013/7/10 21:31,0.155909091
122,2013/7/10 21:32,0.135210526
123,2013/7/10 21:33,0.147448276
124,2013/7/10 21:34,0.14322807
125,2013/7/10 21:35,0.14195
126,2013/7/10 21:36,0.138710526
127,2013/7/10 21:37,0.153842105
128,2013/7/10 21:38,0.132535714
129,2013/7/10 21:39,0.15236
130,2013/7/10 21:40,0.130833333
131,2013/7/10 21:41,0.141421053
132,2013/7/10 21:42,0.16272
133,2013/7/10 21:43,0.133365385
134,2013/7/10 21:44,0.138169811
135,2013/7/10 21:45,0.137966667
136,2013/7/10 21:46,0.136631579
137,2013/7/10 21:47,0.147366667
138,2013/7/10 21:48,0.125142857
139,2013/7/10 21:49,0.140896552
140,2013/7/10 21:50,0.149896552
141,2013/7/10 21:51,0.149707317
142,2013/7/10 21:52,0.140666667
143,2013/7/10 21:53,0.138764706
144,2013/7/10 21:54,0.143288136
145,2013/7/10 21:55,0.143258621
146,2013/7/10 21:56,0.144697674
147,2013/7/10 21:57,0.13690566
148,2013/7/10 21:58,0.135833333
149,2013/7/10 21:59,0.152069767
150,2013/7/10 22:00,0.143946429
151,2013/7/10 22:01,0.142184211
152,2013/7/10 22:02,0.139471698
153,2013/7/10 22:03,0.137339286
154,2013/7/10 22:04,0.150767857
155,2013/7/10 22:05,0.134215686
156,2013/7/10 22:06,0.149767442
157,2013/7/10 22:07,0.1365
158,2013/7/10 22:08,0.144457627
159,2013/7/10 22:09,0.139275862
160,2013/7/10 22:10,0.142035714
161,2013/7/10 22:11,0.150594595
162,2013/7/10 22:12,0.136137931
163,2013/7/10 22:13,0.149728814
164,2013/7/10 22:14,0.139666667
165,2013/7/10 22:15,0.138482759
166,2013/7/10 22:16,0.129
167,2013/7/10 22:17,0.138924528
168,2013/7/10 22:18,0.152333333
169,2013/7/10 22:19,0.156216667
170,2013/7/10 22:20,0.155943396
171,2013/7/10 22:21,0.140236842
172,2013/7/10 22:22,0.138271186
173,2013/7/10 22:23,0.129649123
174,2013/7/10 22:24,0.131358491
175,2013/7/10 22:25,0.139264151
176,2013/7/10 22:26,0.149131579
177,2013/7/10 22:27,0.136912281
178,2013/7/10 22:28,0.141708333
179,2013/7/10 22:29,0.133085106
180,2013/7/10 22:30,0.140875
181,2013/7/10 22:31,0.141232558
182,2013/7/10 22:32,0.1428125
183,2013/7/10 22:33,0.133733333
184,2013/7/10 22:34,0.140266667
185,2013/7/10 22:35,0.146423729
186,2013/7/10 22:36,0.137710526
187,2013/7/10 22:37,0.155789474
188,2013/7/10 22:38,0.134981818
189,2013/7/10 22:39,0.135383333
190,2013/7/10 22:40,0.136153846
191,2013/7/10 22:41,0.152394737
192,2013/7/10 22:42,0.134070175
193,2013/7/10 22:43,0.13977193
194,2013/7/10 22:44,0.141423077
195,2013/7/10 22:45,0.14682
196,2013/7/10 22:46,0.131676471
197,2013/7/10 22:47,0.14145614
198,2013/7/10 22:48,0.142442308
199,2013/7/10 22:49,0.144362069
200,2013/7/10 22:50,0.12968
201,2013/7/10 22:51,0.142
202,2013/7/10 22:52,0.140807692
203,2013/7/10 22:53,0.145983333
204,2013/7/10 22:54,0.12354386
205,2013/7/10 22:55,0.133892857
206,2013/7/10 22:56,0.145046512
207,2013/7/10 22:57,0.14555
208,2013/7/10 22:58,0.148694915
209,2013/7/10 22:59,0.145983333
210,2013/7/10 23:00,0.152017544
211,2013/7/10 23:01,0.161868421
212,2013/7/10 23:02,0.135892857
213,2013/7/10 23:03,0.142125
214,2013/7/10 23:04,0.135355932
215,2013/7/10 23:05,0.134346154
216,2013/7/10 23:06,0.14047619
217,2013/7/10 23:07,0.14048
218,2013/7/10 23:08,0.153829787
219,2013/7/10 23:09,0.135338983
220,2013/7/10 23:10,0.137355932
221,2013/7/10 23:11,0.146263158
222,2013/7/10 23:12,0.149694915
223,2013/7/10 23:13,0.138050847
224,2013/7/10 23:14,0.145898305
225,2013/7/10 23:15,0.138864407
226,2013/7/10 23:16,0.142394737
227,2013/7/10 23:17,0.14355
228,2013/7/10 23:18,0.143033333
229,2013/7/10 23:19,0.1495
230,2013/7/10 23:20,0.139368421
231,2013/7/10 23:21,0.150184211
232,2013/7/10 23:22,0.136525424
233,2013/7/10 23:23,0.14565
234,2013/7/10 23:24,0.146716667
235,2013/7/10 23:25,0.143716667
236,2013/7/10 23:26,0.145657895
237,2013/7/10 23:27,0.140067797
238,2013/7/10 23:28,0.142627451
239,2013/7/10 23:29,0.154327586
240,2013/7/10 23:30,0.137568966
241,2013/7/10 23:31,0.153243243
242,2013/7/10 23:32,0.147807018
243,2013/7/10 23:33,0.153204082
244,2013/7/10 23:34,0.149372881
245,2013/7/10 23:35,0.14135
246,2013/7/10 23:36,0.149473684
247,2013/7/10 23:37,0.14854386
248,2013/7/10 23:38,0.1421
249,2013/7/10 23:39,0.148133333
250,2013/7/10 23:40,0.163363636
251,2013/7/11 9:47,446.098125
252,2013/7/11 9:48,864.7357667
253,2013/7/11 10:02,1112.810313
254,2013/7/11 22:52,1032.648385
255,2013/7/12 22:59,116.7463333
256,2013/7/12 23:00,580.6265741
257,2013/7/12 23:01,429.6974375
258,2013/7/12 23:02,1145.836196
259,2013/7/12 23:03,1338.825545
260,2013/7/12 23:04,1316.001222
261,2013/7/12 23:05,1302.109838
262,2013/7/12 23:06,1284.381118
263,2013/7/14 1:59,1123.948083
264,2013/7/14 2:00,1.264
265,2013/8/4 5:17,1.493380952
266,2013/8/4 5:18,91.8106
267,2013/8/4 5:21,1222.352
268,2013/8/4 5:22,1216.8385
